iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
6286,38,70,168,9.959e-06,0.009758
6291,38,75,168,0.0011548,0.0097504
6296,38,80,168,0.0038444,0.0097452
6301,38,85,168,0.040865,0.0097604
6306,38,90,168,0.0035067,0.0097668
6311,38,95,168,0.0010937,0.0097652
6316,38,100,168,0.0083471,0.0097602
6321,38,105,168,0.00055252,0.009753
6326,38,110,168,0.0079298,0.0097506
6331,38,115,168,0.0018491,0.0097534
6336,38,120,168,0.025303,0.0097533
6341,38,125,168,0.0045758,0.0097487
6346,38,130,168,0.010462,0.0097507
6351,38,135,168,0.00099589,0.0097534
6356,38,140,168,0.0016564,0.0097482
6361,38,145,168,0.013626,0.0097446
6366,38,150,168,0.001921,0.0097383
6371,38,155,168,0.0047297,0.0097336
6376,38,160,168,0.0007435,0.0097283
6381,38,165,168,0.00036561,0.0097216
6552,40,0,168,7.0344e-06,0.0095651
6557,40,5,168,0.0036724,0.0095583
6562,40,10,168,0.0011436,0.0095515
6567,40,15,168,6.7459e-06,0.0095444
6572,40,20,168,8.8646e-06,0.0095387
6577,40,25,168,0.0001449,0.009538
6582,40,30,168,8.2726e-05,0.0095312
6587,40,35,168,0.00010373,0.0095243
6592,40,40,168,6.316e-05,0.0095172
6597,40,45,168,0.00035754,0.0095111
6602,40,50,168,0.00010034,0.009504
